21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
21,0,0,20,13,20,34,20,20,20,20,20,20,0,0,34,0,0,0,21
21,0,0,0,13,13,30,13,31,13,30,0,34,34,34,0,0,9,10,0
21,0,0,2,2,2,2,0,0,0,0,16,16,0,16,16,16,17,16,21
26,35,35,2,2,2,2,0,5,6,0,0,0,0,0,0,0,17,0,21
21,37,35,2,2,2,2,0,0,0,0,0,0,0,0,0,0,17,0,21
21,35,35,22,22,22,22,22,22,22,22,22,22,0,29,29,29,17,0,21
21,0,15,15,31,15,15,15,23,30,23,23,23,0,29,30,31,17,0,21
21,0,15,15,15,15,15,15,23,23,23,23,23,0,29,29,29,17,0,13
21,0,15,15,15,15,15,15,28,23,23,23,23,0,29,29,29,17,0,13
21,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,0,13
21,0,0,0,0,30,31,0,0,0,0,34,36,29,29,29,29,29,0,13
21,0,0,0,0,0,0,0,0,0,27,31,0,0,0,0,0,0,0,13
21,0,15,15,15,15,15,0,0,34,0,0,0,0,0,0,0,0,0,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
